Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Benjamin Thompson|English physicist (born in America) who studied heat and friction; experiments convinced him that heat is caused by moving particles (1753-1814)
Homer Thompson|United States classical archaeologist (born in Canada) noted for leading the excavation of the Athenian agora (1906-2000)
Joseph John Thomson|English physicist who experimented with the conduction of electricity through gases and who discovered the electron and determined its charge and mass (1856-1940)
George Paget Thomson|English physicist (son of Joseph John Thomson) who was a co-discoverer of the diffraction of electrons by crystals (1892-1975)
Elihu Thomson|United States electrical engineer (born in England) who in 1892 formed a company with Thomas Edison (1853-1937)
Virgil Thomson|United States composer who collaborated with Gertrude Stein (1896-1989)
Thoreau|United States writer and social critic (1817-1862)
Edward Lee Thorndike|United States educational psychologist (1874-1949)
Dame Sybil Thorndike|English actress (1882-1976)
William Thornton|American architect (1759-1828)
Jim Thorpe|outstanding United States athlete (1888-1953)
Thucydides|ancient Greek historian remembered for his history of the Peloponnesian War (460-395 BC)
James Thurber|United States humorist and cartoonist who published collections of essays and stories (1894-1961)
Tiberius Claudius Nero Caesar Augustus|son-in-law of Augustus who became a suspicious tyrannical Emperor of Rome after a brilliant military career (42 BC to AD 37)
Giovanni Battista Tiepolo|Italian painter (1696-1770)
Louis Comfort Tiffany|United States artist who developed Tiffany glass (1848-1933)
Big Bill Tilden|United States tennis player who dominated men's tennis in the 1920s (1893-1953)
Paul Tillich|United States theologian (born in Germany) (1886-1965)
Timothy|a disciple of Saint Paul who became the leader of the Christian community at Ephesus
Jan Tinbergen|Dutch economist noted for his work in econometrics (1903-1994)
Nikolaas Tinbergen|Dutch zoologist who showed that much animal behavior is innate and stereotyped (1907-1988)
Jacopo Robusti|Italian painter of the Venetian school (1518-1594)
Gabriel Tellez|Spanish dramatist who wrote the first dramatic treatment of the legend of Don Juan (1571-1648)
Tiziano Vecellio|old master of the Venetian school (1490-1576)
Marshal Tito|Yugoslav statesman who led the resistance to German occupation during World War II and established a communist state after the war (1892-1980)
Titus Vespasianus Augustus|Emperor of Rome; son of Vespasian (39-81)
Titus|a Greek disciple and helper of Saint Paul
Mark Tobey|United States abstract painter influenced by oriental calligraphy (1890-1976)
James Tobin|United States economist (1918-2002)
Alexis de Tocqueville|French political writer noted for his analysis of American institutions (1805-1859)
Sir Alexander Robertus Todd|Scottish chemist noted for his research into the structure of nucleic acids (born in 1907)
Tojo Hideki|Japanese army officer who initiated the Japanese attack on Pearl Harbor and who assumed dictatorial control of Japan during World War II; he was subsequently tried and executed as a war criminal (1884-1948)
Alice B. Toklas|United States writer remembered as the secretary and companion of Gertrude Stein (1877-1967)
J.R.R. Tolkien|British philologist and writer of fantasies (born in South Africa) (1892-1973)
Leo Tolstoy|Russian author remembered for two great novels (1828-1910)
Clyde Tombaugh|United States astronomer who discovered the planet Pluto (1906-1997)
Tomas de Torquemada|the Spaniard who as Grand Inquisitor was responsible for the death of thousands of Jews and suspected witches during the Spanish Inquisition (1420-1498)
Evangelista Torricelli|Italian physicist who invented the mercury barometer (1608-1647)
Arturo Toscanini|Italian conductor of many orchestras worldwide (1867-1957)
Henri Toulouse-Lautrec|French painter who portrayed life in the cafes and music halls of Montmartre (1864-1901)
Gilles de la Tourette|French neurologist (1857-1904)
Ithiel Town|United States architect who was noted for his design and construction of truss bridges (1784-1844)
Charles Townes|United States physicist who developed the laser and maser principles for producing high-intensity radiation (1915-)
Francis Everett Townsend|United States social reformer who proposed an old-age pension sponsored by the federal government; his plan was a precursor to Social Security (1867-1960)
Arnold Toynbee|English historian who studied the rise and fall of civilizations looking for cyclical patterns (1889-1975)
Spencer Tracy|United States film actor who appeared in many films with Katharine Hepburn (1900-1967)
John Tradescant|English botanist who was one of the first to collect specimens of plants (1570-1638)
Marcus Ulpius Traianus|Roman Emperor and adoptive son of Nerva; extended the Roman Empire to the east and conducted an extensive program of building (53-117)
Helen Traubel|United States operatic soprano (1903-1972)
Sir Herbert Beerbohm Tree|English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
George Otto Trevelyan|English historian who wrote a history of the American revolution and a biography of his uncle Lord Macaulay (1838-1928)
George Macaulay Trevelyan|English historian and son of Sir George Otto Trevelyan whose works include a social history of England and a biography of Garibaldi (1876-1962)
Lee Trevino|United States golfer (born in 1939)
Richard Trevithick|English engineer who built the first railway locomotive (1771-1833)
Lionel Trilling|United States literary critic (1905-1975)
Anthony Trollope|English writer of novels (1815-1882)
Trotsky|Russian revolutionary and Communist theorist who helped Lenin and built up the army; he was ousted from the Communist Party by Stalin and eventually assassinated in Mexico (1879-1940)
Francois Truffaut|French filmmaker (1932-1984)
Harry Truman|elected vice president in Roosevelt's 4th term; became 33rd President of the United States on Roosevelt's death in 1945 and was elected President in 1948; authorized the use of atomic bombs against Japan (1884-1972)
Dalton Trumbo|United States screenwriter who was blacklisted and imprisoned for refusing to cooperate with congressional investigations of communism in America (1905-1976)
John Trumbull|American satirical poet (1750-1831)
John Trumbull|American painter of historical scenes (1756-1843)
Jonathan Trumbull|American Revolutionary leader who as governor of Connecticut provided supplies for the Continental Army (1710-1785)
Sojourner Truth|United States abolitionist and feminist who was freed from slavery and became a leading advocate of the abolition of slavery and for the rights of women (1797-1883)
Harriet Tubman|United States abolitionist born a slave on a plantation in Maryland and became a famous conductor on the Underground Railroad leading other slaves to freedom in the North (1820-1913)
Barbara Tuchman|United States historian (1912-1989)
Sophie Tucker|United States vaudevillian (born in Russia) noted for her flamboyant performances (1884-1966)
Benjamin Ricketson Tucker|United States anarchist influential before World War I (1854-1939)
Antony Tudor|United States dancer and choreographer (born in England) (1909-1987)
Gene Tunney|United States prizefighter who won the world heavyweight championship by defeating Jack Dempsey twice (1898-1978)
Ivan Turgenev|Russian writer of stories and novels and plays (1818-1883)
Anne Robert Jacques Turgot|French economist who in 1774 was put in control of finances by Louis XVI; his proposals for reforms that involved abolishing feudal privileges made him unpopular with the aristocracy and in 1776 he was dismissed (1727-1781)
Alan Turing|English mathematician who conceived of the Turing machine and broke German codes during World War II (1912-1954)
Frederick Jackson Turner|United States historian who stressed the role of the western frontier in American history (1861-1951)
Joseph Mallord William Turner|English landscape painter whose treatment of light and color influenced the French impressionists (1775-1851)
Henry Hubert Turner|United States endocrinologist (1892-1970)
Nat Turner|United States slave and insurrectionist who in 1831 led a rebellion of slaves in Virginia; he was captured and executed (1800-1831)
Dick Turpin|English highwayman (1706-1739)
Marie Tussaud|French modeler (resident in England after 1802) who made wax death masks of prominent victims of the French Revolution and toured Britain with her wax models; in 1835 she opened a permanent waxworks exhibition in London (1761-1850)
Tutankhamen|Pharaoh of Egypt around 1358 BC; his tomb was discovered almost intact by Howard Carter in 1922
Desmond Tutu|South African prelate and leader of the antiapartheid struggle (born in 1931)
John Tyler|elected vice president and became the 10th President of the United States when Harrison died (1790-1862)
William Tyndale|English translator and Protestant martyr; his translation of the Bible into English (which later formed the basis for the King James Version) aroused ecclesiastical opposition; he left England in 1524 and was burned at the stake in Antwerp as a heretic (1494-1536)
